0,ANTONIO,RIZZO
1,FRANCESCO,GRECO
2,GIUSEPPE,QUARTA
3,MARIA,PERRONE
4,ANNA,MAZZOTTA
5,ANDREA,DE GIORGI
6,ALESSANDRO,INGROSSO
7,FRANCESCA,ROLLO
8,GIOVANNI,RUSSO
9,ANNA MARIA,CAPONE
10,LUIGI,ROMANO
11,MARCO,DE LUCA
12,SALVATORE,CENTONZE
13,STEFANO,LONGO
14,ROBERTO,DELL'ANNA
15,LUCIA,SPEDICATO
16,ALESSANDRA,LEZZI
17,RITA,BRUNO
18,CHIARA,CONTE
19,GABRIELE,DE MATTEIS
20,PAOLA,GUIDO
21,DANIELA,LEONE
22,VINCENZO,MELE
23,GIOVANNA,DE PASCALIS
24,CARMELA,FIORENTINO
25,LUCA,DE SANTIS
26,LAURA,DE CARLO
27,GIULIA,NEGRO
28,MATTEO,MONTINARO
29,MARIA ROSARIA,CAPOCCIA
30,VALENTINA,CALO'
31,MARIO,MARTINA
32,MASSIMO,MIGLIETTA
33,DAVIDE,MONACO
34,SIMONE,PALADINI
35,DANIELE,LEO
36,PAOLO,SANTORO
37,STEFANIA,TORNESE
38,FEDERICA,ELIA
39,FABIO,PINTO
40,ANTONELLA,CALOGIURI
41,SARA,CAPUTO
42,MARIA TERESA,RENNA
43,MAURIZIO,BIANCO
44,ANGELA,PEPE
45,MICHELE,MARZO
46,ROBERTA,ESPOSITO
47,CARLO,DE RINALDIS
48,ANTONIA,BUTTAZZO
49,ELENA,PELLEGRINO
50,LORENZO,DE FILIPPI
51,SIMONA,MARRA
52,ANGELO,CARICATO
53,GIORGIO,PERULLI
54,ORONZO,CARLA'
55,RAFFAELE,DE VITIS
56,PATRIZIA,ERRICO
57,GIUSEPPINA,PAGLIARA
58,SILVIA,DE MITRI
59,COSIMO,SPAGNOLO
60,FEDERICO,ROSATO
61,GIORGIA,ZECCA
62,ROSA,STEFANELLI
63,ANNA RITA,TAURINO
64,MARCELLO,TARANTINO
65,MARIA ANTONIETTA,FAGGIANO
66,RICCARDO,PALAZZO
67,GIANLUCA,PASCALI
68,ALESSIA,DONNO
69,GIUSEPPA,SERGIO
70,SERGIO,MORELLI
71,MARTINA,GIANNONE
72,MATTIA,COLELLA
73,CLAUDIO,COPPOLA
74,CONCETTA,LUPERTO
75,CATERINA,CASILLI
76,GABRIELLA,DE GIOVANNI
77,TERESA,GRASSO
78,ILARIA,LIACI
79,CARMELO,PERSANO
80,SILVANA,DE BLASI
81,PIETRO,MARIANO
82,EMANUELE,LICCI
83,ADDOLORATA,TONDO
84,MARTA,URSO
85,BARBARA,LEUZZI
86,EMANUELA,MARGIOTTA
87,SOFIA,ORLANDO
88,MASSIMILIANO,PEDONE
89,CRISTINA,TOTARO
90,VALERIA,CARROZZO
91,CLAUDIA,PALUMBO
92,TIZIANA,SIGNORE
93,ELISABETTA,CALABRESE
94,FRANCO,PALLARA
95,ELEONORA,TOMMASI
96,MARIA GRAZIA,ANTONACI
97,ELISA,MAGGIO
98,MAURO,COLACI
99,SERENA,FRANCO
100,CRISTIAN,CORALLO
101,LOREDANA,DE DONNO
102,LUIGIA,MAGGIORE
103,VITO,CAZZELLA
104,VINCENZA,MICCOLI
105,ROSANNA,PANICO
106,NICOLA,D'ELIA
107,ALBERTO,PATI
108,DARIO,STARACE
109,ANTONIETTA,MAZZEO
110,ALESSIO,PETRELLI
111,DOMENICO,PICCINNO
112,ADRIANA,SINGH
113,MONICA,CARACCIOLO
114,PASQUALE,COSTANTINI
115,MARCELLA,GIGANTE
116,ROSARIA,GIORDANO
117,GIULIO,GAETANI
118,GIACOMO,NUZZO
119,AURORA,CONGEDO
120,ENRICO,PETRACHI
121,FERNANDO,CAZZATO
122,CARLA,CANDIDO
123,SABRINA,DURANTE
124,MANUELA,DEL COCO
125,LEONARDO,PETRACCA
126,LUCIANO,LAUDISA
127,IRENE,APRILE
128,VITTORIA,CICCARESE
129,ALFREDO,EPIFANI
130,BENEDETTA,PASTORE
131,GIULIANA,PISANO'
132,DIEGO,ROSSI
133,MARINA,PEZZUTO
134,ASSUNTA,CASTELLUZZO
135,MARGHERITA,BARBA
136,BRUNO,MANNO
137,VITTORIO,BURSOMANNO
138,FILIPPO,CHIRIATTI
139,ALDO,POTI'
140,LUDOVICA,SAPONARO
141,BEATRICE,POLITI
142,SAMUELE,VERGARI
143,FABRIZIO,CAMPOBASSO
144,TOMMASO,CORRADO
145,CINZIA,DE LORENZIS
146,DONATO,DE PANDIS
147,GAETANO,D'ORIA
148,GIANFRANCO,COSMA
149,ALICE,DE MASI
150,MARIA LUISA,DE VERGORI
151,VERONICA,GIANNUZZI
152,GRAZIA,MORELLO
153,DANILO,SERAFINO
154,EDOARDO,VERGINE
155,LUISA,BEVILACQUA
156,GAIA,CANNONE
157,LILIANA,CARLINO
158,MICHELA,CHIRIZZI
159,ROSALBA,MANCA
160,GIANCARLO,MANCARELLA
161,ISABELLA,RIZZELLO
162,LUCIANA,RUCCO
163,MARISA,ALBANESE
164,RAFFAELLA,CILLO
165,SONIA,DE ROSA
166,ADELE,D'AMICO
167,IVAN,GIANCANE
168,PIERLUIGI,MARINO
169,PIERPAOLO,PATARNELLO
170,ANNUNZIATA,BRAY
171,MIRKO,FASIELLO
172,COSIMA,PANTALEO
173,ROSSELLA,CARLUCCIO
174,UMBERTO,DE SALVATORE
175,EMMA,SERRA
176,MARIA CRISTINA,ATTANASIO
177,GIANMARCO,PAIANO
178,NICOLO',RAHO
179,ORONZA,SCHIPA
180,ANNALISA,VILLANI
181,LETIZIA,BISCONTI
182,FRANCA,MARANGIO
183,MARIANNA,MARZANO
184,ANNAMARIA,NICOLI'
185,MARIANGELA,ZILLI
186,CLARA,VANTAGGIATO
187,JACOPO,ALEMANNO
188,VALERIO,DE LEO
189,CECILIA,PALMA
190,FILOMENA,ANTONUCCI
191,CHRISTIAN,DANESE
192,LIDIA,DE TOMMASI
193,DOMENICA,GARGIULO
194,GIADA,SARACINO
195,GRETA,FERRARI
196,MATILDE,QUARANTA
197,RAFFAELA,FAZZI
198,ROCCO,GARRISI
199,ORNELLA,BALDASSARRE
200,PIERO,GRAVILI
201,LUCIO,MADARO
202,RENATO,VERGALLO
203,ANGELICA,VITALE
204,CARMEN,BUSCICCHIO
205,CESARE,COLONNA
206,EMILIA,STRIANI
207,ARIANNA,TONDI
208,BIANCA,CANNOLETTA
209,CORRADO,FASANO
210,DONATELLA,MALINCONICO
211,IMMACOLATA,CORVAGLIA
212,MARIA LUCIA,EVANGELISTA
213,MARILENA,SCHIRINZI
214,VIRGINIA,AMATO
215,ELIO,DE SIMONE
216,MARIA PIA,DORIA
217,NOEMI,GATTO
218,VANESSA,MACI
219,AGNESE,SCORRANO
220,ENRICA,CAVALLO
221,PASQUALINA,GIURGOLA
222,ROSSANA,LEUCCI
223,DAMIANO,VETRUGNO
224,EUGENIO,MARTI
225,GIULIANO,MAZZEI
226,IOLANDA,MELISSANO
227,MARIA CONCETTA,COLUCCIA
228,SANDRO,GENTILE
229,REBECCA,PALMIERI
230,VIVIANA,RICCHIUTO
231,CRISTIANO,SOZZO
232,LUANA,BELLO
233,MARIA ANTONIA,COSI
234,MIRELLA,GUACCI
235,ELVIRA,LUPO
236,GLORIA,SERIO
237,ADRIANO,CRETI'
238,MARIA ADDOLORATA,CUNA
239,GINA,PRANZO
240,MARIA RITA,TOMA
241,MARINELLA,FRACASSO
242,CARLOTTA,TAFURO
243,LUCREZIA,TIMO
244,MIRIAM,FERRERI
245,MARIA ASSUNTA,MIGGIANO
246,SANDRA,PAPADIA
247,CAROLA,VALENTE
248,ERIKA,DE MARCO
249,FERNANDA,FEDELE
250,NADIA,INDINO
251,KATIA,MACCHIA
252,MANUEL,MORRONE
253,UGO,SCARDINO
254,DONATA,SPARAPANO
255,MILENA,GERARDI
256,ROMINA,PANZERA
257,CAMILLA,CARBONE
258,MICHAEL,CATALANO
259,GUIDO,COSTA
260,ROSARIO,GALLO
261,AMELIA,LEOPIZZI
262,ANNARITA,MONTINARI
263,GIOELE,PRETE
264,NICOLETTA,TURCO
265,PAMELA,ANCORA
266,ADA,CAROPPO
267,FLAVIO,INVIDIA
268,FLAVIA,LICCARDI
269,GENNARO,MARTELLA
270,ILENIA,METRANGOLO
271,OSVALDO,VALLETTA
272,BENITO,CAMPA
273,MADDALENA,CAPRIOLI
274,FERDINANDO,D'AMATO
275,MARIA GABRIELLA,FRASSANITO
276,ANNA ROSA,INGUSCIO
277,ENZO,PELUSO
278,FABIOLA,SCRIMIERI
279,GINEVRA,GUERRIERI
280,MARZIA,LUBELLI
281,SANTA,MASSARO
282,SIMONETTA,PRONTERA
283,CAROLINA,SERGI
284,DEBORA,TORTORELLA
285,EMILIO,BARONE
286,MARIA GIOVANNA,CHIRIACO'
287,EVA,COLUCCI
288,PANTALEO,DELLE ROSE
289,PIERANDREA,GRASSI
290,STELLA,MAROTTA
291,ETTORE,MERICO
292,FIORELLA,NATALE
293,GIAMPIERO,PASCA
294,LIVIA,PELLE'
295,VIOLA,PRESICCE
296,FULVIO,AGRIMI
297,MARIA ROSA,MASTROLIA
298,OLGA,PAPA
299,VITA,SOLAZZO
300,WALTER,BOLOGNESE
301,EUGENIA,CANTORO
302,GIANNI,CASTILLO
303,SILVIO,CASTRIGNANO'
304,CARMINE,MANNARINI
305,ELIANA,MELLO
306,ENNIO,STIFANI
307,GIANLUIGI,TORALDO
308,ERNESTO,TUNDO
309,FABIANA,CAPPELLO
310,INES,LAZZARI
311,RENATA,LISI
312,ARMANDO,MARTANO
313,ALBA,SIMONE
314,ASIA,STELLA
315,AZZURRA,VADACCA
316,MARIA ANGELA,APOLLONIO
317,MARIA ELENA,BONATESTA
318,MARIA VITTORIA,CATALDO
319,SABINA,FALL
320,ANNA LUCIA,MASSARI
321,ARTURO,PRINARI
322,ESTER,SALERNO
323,FLORA,TORSELLO
324,GINO,VERARDI
325,IDA,CALCAGNILE
326,MARIA ANNA,DE PAOLIS
327,MARIA CHIARA,FORCIGNANO'
328,MONIA,LUPARELLI
329,ROSA ANNA,MARASCO
330,AGOSTINO,MEO
331,MARIAGRAZIA,CAGNAZZO
332,BIAGIO,CARDONE
333,MARIKA,CARICO
334,ANNA GRAZIA,NATALI
335,ANNITA,PARLANGELI
336,DIANA,PRATO
337,MARIA FRANCESCA,STABILE
338,NICOLE,BORTONE
339,SAVERIO,BRINDISINO
340,TIZIANO,CAIULO
341,BRUNA,CAMPILONGO
342,DALILA,CONTALDO
343,GRAZIELLA,CONTINO
344,IVANA,DE FILIPPIS
345,ANITA,FALCONIERI
346,ANNA PAOLA,GALLUCCI
347,GILDA,PARISI
348,MARIA CARMELA,RIZZATO
349,PIERA,SEMERARO
350,RACHELE,ARALLA
351,CONSIGLIA,CAMASSA
352,CRISTIANA,CASCIARO
353,GUGLIELMO,CHIRONI
354,MARISTELLA,CIARDO
355,MICHELINA,FERRI
356,VALENTINO,GEMMA
357,AUGUSTO,LALA
358,GABRIEL,MARTENA
359,IOLE,PERSONE'
360,LUDOVICO,PREITE
361,MARIELLA,ARMILLIS
362,RODOLFO,COLELLI
363,SANTO,FIORE
364,SEBASTIANO,GIANNOTTA
365,ADOLFO,MARAZIA
366,DANILA,MARCHELLO
367,ERICA,SABATO
368,LAVINIA,SICILIANO
369,LINA,SPEDICATI
370,PIERFRANCESCO,TARANTINI
371,SARAH,VINCENTI
372,ANASTASIA,CAPIROLA
373,CESARIA,CUCURACHI
374,DOLORES,GOFFREDO
375,GERARDO,LUCIA
376,ITALO,MAGGIULLI
377,PALMA,MARTUCCI
378,SAMUEL,MOLENDINI
379,VERA,RESTA
380,CARMELINA,ROSSETTI
381,DEBORAH,SANSO'
382,FAUSTO,SPARAPANE
383,GRAZIANO,TANA
384,ITALIA,TRICARICO
385,LINDA,VITTI
386,PIERGIORGIO,BERGAMO
387,ATTILIO,BLASI
388,CARMINA,BORGIA
389,DILETTA,CAFIERO
390,EMILIANO,CAPPILLI
391,MARIAROSARIA,CASTELLUCCIO
392,PALMIRA,CITO
393,AMALIA,DIOUF
394,ANDREINA,FRANCHINI
395,FATIMA,GUIDA
396,FERRUCCIO,IMBRIANI
397,IVANO,LECCISO
398,LARA,MANNI
399,CLELIA,PAGANO
400,CLEMENTINA,PARITI
401,DELIA,STEFANIZZI
402,LORENA,VIVA
403,NICCOLO',BATTISTA
404,ALEX,CAFARO
405,ALFONSO,CATANZARO
406,CELESTE,FERSINI
407,COSIMO DAMIANO,IPPOLITO
408,EGIDIO,MORCIANO
409,MARIA LAURA,POTENZA
410,MARIA PAOLA,STOMEO
411,MELISSA,BOVE
412,RUGGERO,CORDELLA
413,SANTINA,FUSO
414,AMEDEO,GUARASCIO
415,DAVID,INDRACCOLO
416,GIAMPAOLO,LORENZO
417,GIUSI,MELELEO
418,LORENZA,PODO
419,MARIA DOMENICA,RELLA
420,MARIA GIUSEPPA,RUGGIO
421,MIRIANA,SANTO
422,THOMAS,ARNESANO
423,VILMA,BAGLIVI
424,ANGELA MARIA,CARRISI
425,CATIA,D'AGOSTINO
426,CIRO,D'AMELIO
427,ENZA,DELLI NOCI
428,FLORIANA,LATINO
429,LUIGINA,LINCIANO
430,MARIA IMMACOLATA,LOMBARDI
431,MARIA MADDALENA,REGGIO
432,SALVATORA,SALIERNO
433,SHARON,SCIOLTI
434,VANDA,TALESCO
435,ANNACHIARA,VERGORI
436,ANTONINO,CAPILUNGO
437,FRANCESCA MARIA,CATALDI
438,FRANCESCO MARIA,CROCE
439,MAMADOU,DELL'ATTI
440,MARIA STELLA,GIANFREDA
441,OMAR,GRANDE
442,ROSA MARIA,LO DESERTO
443,ROSETTA,MILLI
444,ROSINA,PADULA
445,SERENELLA,POSO
446,SILVANO,SANSONETTI
447,TANIA,SORRENTINO
448,WILLIAM,VIRGULTO
449,AGATA,CORSANO
450,BENEDETTO,DE LORENZI
451,ERMINIA,DELLA BONA
452,EVELINA,GENOVASI
453,GAETANA,NDIAYE
454,GERMANA,NICOLETTI
455,LEDA,PORTALURI
456,MARIA LETIZIA,RICCARDI
457,MARTINO,RIEZZO
458,MOHAMED,RUBINO
459,VITO ANTONIO,SAMBATI
460,DENISE,SCARPA
461,EDUARDO,STASI
462,FRANCESCO PAOLO,TROTTA
463,FULVIA,BERNARDINI
464,GIANPIERO,BLEVE
465,GILBERTO,CHEN
466,IBRAHIMA,GUARINO
467,IRMA,MICELI
468,LORIS,MINERVA
469,NATALIA,MONTAGNA
470,OLIMPIA,PALANO
471,OSCAR,RUGGIERO
472,PIER PAOLO,SCARDIA
473,TATIANA,TRAMACERE
474,TEODORO,VENTURA
475,VALTER,BACULO
476,ANGIOLINA,BRIGANTI
477,ANNA CHIARA,CACCIATORE
478,ANNA LISA,CAVONE
479,COSTANTINO,CORCIULO
480,DARIA,DE DONATIS
481,ENEA,FATANO
482,FELICE,LUCERI
483,GEMMA,MAGLIO
484,GIAMMARCO,MANCO
485,GIORDANO,MORTELLA
486,GREGORIO,MURRA
487,MICHELANGELO,NIGRO
488,MUHAMMAD,NOCCO
489,OTTAVIO,POLIMENO
490,ROSALIA,VERRI
491,TONIA,VILLA
492,WANDA,BASCIA'
493,ABBONDANZA,DE PASCALI
494,ANNA TERESA,DI DONFRANCESCO
495,ARNALDO,FERRANTE
496,AURELIA,FILOGRANA
497,COSTANZA,FOSCARINI
498,JESSICA,ISOLA
499,LICIA,LEGGIERI
500,LORELLA,LEGITTIMO
501,MARIA CONSIGLIA,MANGIA
502,MARIANA,MEZZI
503,MAURA,MICELLI
504,MIRCO,MONTEDURO
505,NICOLAS,MOSCHETTINI
506,RAMONA,NOTARO
507,AMLETO,PECORARO
508,ANGELINA,PUGLIESE
509,BIANCA MARIA,SERAFINI
510,DANIEL,VERDESCA
511,EZIO,BASILE
512,FRANCESCO ANTONIO,CAPOZZA
513,GRAZIANA,DE CICCO
514,JONATHAN,DEL GIUDICE
515,KEVIN,GORGONI
516,LIVIO,MARUCCIA
517,MARIA DONATA,MEROLA
518,NICOLINA,MONTEFUSCO
519,ORLANDO,PISANELLO
520,PARIDE,SCHITO
521,TONIO,SERINO
522,ANNA LAURA,VALENTINI
523,FORTUNATO,CALASSO
524,GIOVANNI BATTISTA,CASTO
525,MARINO,FALCO
526,MICHELLE,GALATI
527,MODOU,GIURI
528,NINA,KAUR
529,ORESTE,LIGUORI
530,PIETRINA,MARTINO
531,PIETRO PAOLO,PETRUCCI
532,ROMEO,PICCINNI
533,SANTIAGO,PULIMENO
534,SELENE,SCIPPA
535,ADELAIDE,SICULELLA
536,CESARIO,SILVESTRI
537,CESIRA,STAMERRA
538,CLARISSA,TREVISI
539,DAMIANA,ZHOU
540,DORA,BENVENUTO
541,ELDA,CIMINIELLO
542,EROS,COLI'
543,FRANCESCO PIO,D'APRILE
544,GIACINTO,FANELLI
545,GIANMARIA,GIORGINO
546,IGNAZIO,GUGLIELMI
547,MICAELA,MALI
548,NATASHA,MANFREDA
549,PANTALEA,MARSANO
550,PASQUA,MONGELLI
551,PIERANGELO,NESTOLA
552,RITA MARIA,NISI
553,SUSANNA,PALMARINI
554,VANIA,PASSABI'
555,ANTONELLO,PENNETTA
556,ANTONIA MARIA,PROTOPAPA
557,ARCANGELO,SOLOMBRINO
558,AURELIO,CAIONE
559,ELIA,CARLUCCI
560,ELSA,CASALINO
561,GIOIA,CASAVOLA
562,ILARIO,CIULLO
563,ISMAELE,CIURLIA
564,LEONARDA,CORNACCHIA
565,LUCIA ANNA,DE BENEDETTO
566,LUISELLA,DE GIUSEPPE
567,MARIA LUCE,DE MONTE
568,MARIACHIARA,DELI
569,MARIATERESA,D'ERRICO
570,MIHAELA,DIMITRI
571,NUNZIA,DIOP
572,PIER LUIGI,ESTRAFALLACES
573,PIERINA,IMPERATO
574,RENZO,LENTINI
575,ROSA ALBA,MALORGIO
576,ROSSANO,MUCI
577,TAMARA,SOW
578,ACHILLE,TURRISI
579,AMBRA,CARPENTIERI
580,ANNA CARMELA,CIOFFI
581,ANNA ROSARIA,D'AMBROSIO
582,CLOTILDE,DELLE DONNE
583,DESIREE,GABELLONE
584,DORINA,GIANGRANDE
585,FABRIZIA,GIANNATTASIO
586,FRANCESCA ROMANA,GIANNELLI
587,GIULIA MARIA,GRAZIOLI
588,JOELE,LITTA
589,LORETANA,MICELLA
590,LUIGI ANTONIO,MINONNE
591,MAFALDA,MOSCAGIULI
592,MARIA ANTONELLA,NICOLARDI
593,MARIA LUIGIA,SILENO
594,NATALINA,TAMBORRINO
595,NUNZIO,TROSO
596,PALMIRO,VISCONTI
597,PATRIZIO,CESANO
598,POMPILIO,GAROFALO
599,ROSELLA,IANNE
600,RUGGIERO,MASSAFRA
601,SAVERIA,MBAYE
602,UBALDO,MORETTI
603,VIORICA,OLIVIERI
604,VIRGILIO,PINO
605,YURI,PUCE
606,ABDOULAYE,PULLI
607,ADALGISA,RUGGERI
608,AIDA,SPERTI
609,ALMA,ZOLLINO
610,ANA,AMMASSARI
611,ANGIOLA,CAIAFFA
612,ANNA ANTONIA,COTARDO
613,CHEIKH,GIANGRECO
614,CHIARA MARIA,LIBERTINI
615,CLORINDA,MAIORANO
616,CONCETTINA,MARCHESE
617,COSIMA DAMIANA,MAZZO
618,COSIMINA,MURRONE
619,EDDA,PASSIONE
620,ESTERINA,PRIMICELI
621,FILIPPO MARIA,RAMPINO
622,FRANCESCO GIUSEPPE,RAPANA'
623,GABRIELA,SACQUEGNA
624,GIANPAOLO,SALVATORE
625,GIORDANA,VILLANUEVA
626,GIOVANNI PAOLO,ACQUAVIVA
627,GRAZIA MARIA,ALLEGRO
628,LUCE,ANTONAZZO
629,MARIANO,CARRINO
630,MBAYE,CONVERSANO
631,MELANIA,CORONA
632,MIA,DE FRANCESCO
633,NORMA,DE VITO
634,PIERINO,FERRAMOSCA
635,POMPEO,FERRARA
636,SAMANTHA,PANAREO
